,country,Date,t_3,t_2,t_1,arrival
310,45,31/12/2015,6.03,6.48,6.92,7.45
311,45,31/12/2016,6.48,6.92,7.45,8.27
312,45,31/12/2017,6.92,7.45,8.27,8.82
313,45,31/12/2018,7.45,8.27,8.82,9.25
314,45,31/12/2019,8.27,8.82,9.25,9.47
315,46,31/12/2013,7.83,5.75,7.0,7.35
316,46,31/12/2014,5.75,7.0,7.35,7.16
317,46,31/12/2015,7.0,7.35,7.16,5.36
318,46,31/12/2016,7.35,7.16,5.36,5.72
319,46,31/12/2017,7.16,5.36,5.72,7.05
320,46,31/12/2018,5.36,5.72,7.05,8.3
321,46,31/12/2019,5.72,7.05,8.3,9.43
322,47,31/12/2013,6.8,6.7,6.5,6.51
323,47,31/12/2014,6.7,6.5,6.51,7.17
324,47,31/12/2015,6.5,6.51,7.17,6.82
325,47,31/12/2016,6.51,7.17,6.82,6.67
326,47,31/12/2017,7.17,6.82,6.67,6.71
327,47,31/12/2018,6.82,6.67,6.71,6.94
328,47,31/12/2019,6.67,6.71,6.94,7.4
329,48,31/12/2013,5.21,5.57,5.73,6.22
330,48,31/12/2014,5.57,5.73,6.22,6.53
331,48,31/12/2015,5.73,6.22,6.53,6.94
332,48,31/12/2016,6.22,6.53,6.94,7.06
333,48,31/12/2017,6.53,6.94,7.06,7.41
334,48,31/12/2018,6.94,7.06,7.41,8.51
335,48,31/12/2019,7.06,7.41,8.51,8.57
336,49,31/12/2013,4.1,5.69,6.16,6.84
337,49,31/12/2014,5.69,6.16,6.84,6.33
338,49,31/12/2015,6.16,6.84,6.33,6.43
339,49,31/12/2016,6.84,6.33,6.43,6.51
340,49,31/12/2017,6.33,6.43,6.51,7.7
341,49,31/12/2018,6.43,6.51,7.7,8.79
342,49,31/12/2019,6.51,7.7,8.79,8.52
343,50,31/12/2013,5.04,5.54,5.57,5.82
344,50,31/12/2014,5.54,5.57,5.82,6.25
345,50,31/12/2015,5.57,5.82,6.25,6.84
346,50,31/12/2016,5.82,6.25,6.84,6.8
347,50,31/12/2017,6.25,6.84,6.8,7.73
348,50,31/12/2018,6.84,6.8,7.73,7.78
349,50,31/12/2019,6.8,7.73,7.78,8.34
350,51,31/12/2013,5.26,5.59,5.94,6.15
351,51,31/12/2014,5.59,5.94,6.15,6.32
352,51,31/12/2015,5.94,6.15,6.32,6.11
353,51,31/12/2016,6.15,6.32,6.11,6.27
354,51,31/12/2017,6.32,6.11,6.27,6.14
355,51,31/12/2018,6.11,6.27,6.14,6.62
356,51,31/12/2019,6.27,6.14,6.62,7.25
357,52,31/12/2013,5.16,5.43,5.68,5.81
358,52,31/12/2014,5.43,5.68,5.81,6.43
359,52,31/12/2015,5.68,5.81,6.43,6.31
360,52,31/12/2016,5.81,6.43,6.31,6.55
361,52,31/12/2017,6.43,6.31,6.55,6.59
362,52,31/12/2018,6.31,6.55,6.59,6.62
